V_rest,V_peak,dVdt_max,Amplitude,DPA,APD80,APD50,APD30
-73.56443,24.467846,518.56116,98.03227,52.5,1.59,7.3,8.06
-86.748085,17.839705,511.76053,104.58779,99.17,4.4,11.08,11.92
-76.89826,21.877365,520.0472,98.77563,99.17,3.0,11.32,12.280000000000001
-79.41796,19.749212,507.25488,99.167175,86.93,1.73,5.84,6.44
-74.86695,31.568127,536.4153,106.435074,86.34,2.96,20.990000000000002,22.21
-74.469795,29.035969,524.37085,103.50577,99.11,2.35,13.14,13.99
-79.16291,26.679026,520.5797,105.841934,99.17,5.44,16.16,17.01
-71.518456,22.136799,519.7703,93.65526,41.15,1.51,6.17,6.71
-79.70868,12.816561,507.205,92.52524,74.39,1.76,4.7,5.41
-71.55227,24.040518,520.8504,95.59279,98.28,1.6300000000000001,7.61,8.27
-75.67609,32.968998,533.7668,108.64508,99.17,6.43,24.38,25.740000000000002
-84.18477,23.688845,506.42853,107.87361,99.17,2.5300000000000002,9.41,10.17
-82.596,22.186447,513.8976,104.78245,40.57,2.25,9.71,10.65
-76.82597,27.67145,516.0374,104.49742,52.8,1.3900000000000001,8.86,9.620000000000001
-78.28991,25.510063,520.98706,103.79997,45.87,2.79,12.4,13.4
-71.71526,34.705536,543.187,106.4208,99.16,4.0200000000000005,21.32,22.25
-80.68818,23.921135,511.44458,104.609314,52.64,2.12,8.9,9.61
-80.52343,27.965452,523.39557,108.488884,99.17,5.5600000000000005,21.8,23.23
-70.47015,29.42607,536.98895,99.896225,68.08,2.13,13.71,14.46
-74.530136,26.427643,522.41754,100.95778,99.17,3.79,13.950000000000001,14.93
-79.417274,32.332336,523.1482,111.74961,99.17,4.9,21.67,22.67
-79.06712,29.211658,518.68494,108.27878,99.17,3.0100000000000002,15.34,16.12
-74.85575,12.920959,505.0548,87.77671,99.17,1.54,4.19,4.8100000000000005
-75.853745,30.309538,527.4779,106.163284,99.17,2.82,18.09,19.25
-85.955696,25.992376,517.0442,111.948074,99.17,6.73,19.51,20.63
-77.70393,21.852486,519.6148,99.55642,99.17,4.3100000000000005,14.200000000000001,15.200000000000001
-77.40784,29.348232,526.18994,106.75607,99.17,4.88,20.86,21.96
-78.43767,15.658719,504.88052,94.09639,99.17,2.0300000000000002,5.55,6.140000000000001
-79.69814,33.091618,527.48474,112.789764,99.17,5.53,24.45,25.580000000000002
-78.79423,21.879025,519.7072,100.67325,40.910000000000004,2.87,10.35,11.370000000000001
-81.25329,13.541328,507.92157,94.79462,42.84,1.95,5.0600000000000005,5.65
-80.45447,24.436321,510.0223,104.89079,99.17,2.3000000000000003,9.370000000000001,10.17
-80.02218,22.45292,518.2279,102.4751,99.17,5.7,15.44,16.35
-81.72039,16.249973,509.04852,97.97037,43.86,2.1,6.01,6.66
-71.02226,28.209332,537.866,99.2316,64.76,2.49,14.97,15.9
-84.878456,21.67121,509.52292,106.54967,99.17,4.22,11.790000000000001,12.620000000000001
-75.06017,35.461136,535.9342,110.52131,99.17,5.03,23.79,24.78
-73.16199,30.602615,535.811,103.7646,99.17,3.91,19.82,20.75
-86.544044,32.88028,520.8753,119.424324,99.17,4.49,23.18,24.48
-79.59421,32.97352,526.20233,112.567726,59.480000000000004,2.83,19.68,20.740000000000002
-82.32765,28.521828,521.0124,110.84948,99.17,4.99,19.82,20.82
-74.60727,29.366926,528.30554,103.9742,74.04,2.2,15.17,16.03
-72.749504,17.723415,519.6723,90.472916,99.16,2.82,8.82,9.63
-87.37791,18.64525,506.8962,106.023155,76.08,2.37,7.05,7.87
-80.97862,20.08333,515.98663,101.06195,99.17,4.59,12.83,13.81
-70.716606,20.972462,517.17456,91.68907,46.04,1.41,5.25,5.7700000000000005
-80.537186,27.329319,520.56085,107.8665,99.17,5.98,18.19,19.240000000000002
-76.65876,27.252253,524.0388,103.91101,99.15,3.86,15.69,16.81
-85.13124,29.891645,520.99695,115.02289,99.17,5.24,21.150000000000002,22.35
-81.756,18.67656,509.54114,100.432556,99.16,2.98,8.58,9.31
-73.23742,22.023937,515.56683,95.26135,99.17,2.02,7.73,8.42
