Model,Training Samples,Inference Time (100k samples) (s),MARE,MSE,R2,MARE_QoI_0,MSE_QoI_0,MARE_QoI_1,MSE_QoI_1,MARE_QoI_2,MSE_QoI_2,MARE_QoI_3,MSE_QoI_3,MARE_QoI_4,MSE_QoI_4,MARE_QoI_5,MSE_QoI_5,Training Time (s),Memory (gpu),Training Iterations,id
PCE_3,500,101.13414363861084,0.001564725400432727,8.193804986240427e-06,0.9999893466112583,5.493777367308366e-05,4.58263056326792e-09,0.0007791138007224534,1.039326375146169e-06,0.0008561913370578962,1.3725685399809543e-06,0.0022352619071404262,1.0800336806368107e-05,0.002429196382271801,1.3234392175330944e-05,0.0030336512017307008,2.2711623390053116e-05,0.5541589260101318,0.0,-1,10
PCE_5,500,113.45735292434692,0.0010700412050925082,4.399854822403315e-06,0.9999928946727208,1.4665750872538069e-05,4.4371099538088787e-10,6.607569012191135e-05,1.3461035801859157e-08,0.00045712250435924205,4.085561507249984e-07,0.001714839204803317,6.385977153547953e-06,0.0018863680604656657,7.830287563099861e-06,0.0022811760199323745,1.1760403320249835e-05,0.636681079864502,0.0,-1,11
gp_L,500,0.22698287963867186,0.006725840957730175,0.0001528286302090756,0.9997713000881615,0.0013091532628573322,2.6754232145859833e-06,0.0041494729403361704,3.672969404427899e-05,0.0011800902108863843,2.6309231016461188e-06,0.010658522271520797,0.000256401711008636,0.011208345774116106,0.00029154152401117075,0.011849461286664259,0.00032699250587413584,15.360388278961182,62.3076171875,242,12
gp_M,500,0.16607284545898438,0.005968280000094965,0.00013187982071406244,0.9998123451456535,0.0010833745197669175,1.949978229088542e-06,0.0034665578209431658,2.7207619592093125e-05,0.0011971801478719095,2.701489349664519e-06,0.00917124569071489,0.00019674457662104342,0.010568160195894714,0.0003031419782992052,0.010323161625378193,0.0002595332821932797,5.621426582336426,91.2529296875,177,13
gp_S,500,0.10397391319274903,0.015556293108377615,0.0007183683022080916,0.9988067841931562,0.003393999881781052,1.5833633210288872e-05,0.006138251814034541,6.666861200436236e-05,0.0010869795061120766,2.2182813604070545e-06,0.025406861794454925,0.0011763265297778896,0.0291583792627933,0.0015556914707803814,0.028153286391089796,0.0014934712861152195,7.400991439819336,143.2255859375,301,14
NN_S,500,0.004201936721801758,0.0023753517148825546,1.9333390979704124e-05,0.9999764675851156,0.00017527359250072542,6.34639447218551e-08,0.0026729703333993327,1.8454065787164002e-05,0.0008447672844421936,1.7308610296884512e-06,0.0032419577967552626,2.474035965218573e-05,0.0033719380894793693,2.863093522314946e-05,0.003945203192718445,4.238066024131525e-05,5.346315145492554,17.2578125,14114,15
NN_M,500,0.004325151443481445,0.0014940659559082301,1.0618253243654668e-05,0.9999889773377033,8.822320027951346e-05,1.8126492585304208e-08,0.0008679998506381582,3.0581176454879002e-06,0.0007143428132806482,1.346196279239344e-06,0.0021801196880150676,1.2360865704372165e-05,0.002251630834097048,1.5503262211785722e-05,0.002862079349138946,3.1422951128457574e-05,4.296172857284546,17.27734375,8581,16
NN_L,500,0.005125617980957032,0.0009987033712448112,6.578736070808659e-06,0.9999917687489976,9.170583110363084e-05,1.888174502205577e-08,0.00025442669399739615,3.0532484495439504e-07,0.0002515181858690388,1.4763437870515067e-07,0.0015956574831681952,1.0377158754768113e-05,0.0016826545648435313,1.045526291699109e-05,0.0021162574684870754,1.8168153784411152e-05,3.000218152999878,17.45703125,5093,17
PCE_2,1000,98.36307330131531,0.0030921063168240924,2.4673968874206666e-05,0.9999658060581844,0.0004389926238669416,2.714140105711467e-07,0.003057801161983048,1.474421933373889e-05,0.0014635298146476081,3.4673517241587673e-06,0.0041318127094631405,3.3740535626144965e-05,0.004305228841175741,3.760532434743135e-05,0.005155272749808076,5.821496820319487e-05,0.9764132499694824,0.0,-1,18
PCE_3,1000,102.80905261039734,0.0015568536463638877,7.428524675210547e-06,0.9999894669239147,5.493548146281396e-05,4.500591293182432e-09,0.000766386659756532,1.0216650082214528e-06,0.0008433990872000802,1.3668304009662288e-06,0.0022279647063640157,9.887113228385288e-06,0.002420524546924529,1.2018686472470212e-05,0.003027911396475356,2.027235234992692e-05,1.0397593975067139,0.0,-1,19
