Model,Training Samples,Inference Time (s),MARE,MSE,R2,MARE_QoI_0,MSE_QoI_0,MARE_QoI_1,MSE_QoI_1,MARE_QoI_2,MSE_QoI_2,MARE_QoI_3,MSE_QoI_3,MARE_QoI_4,MSE_QoI_4,MARE_QoI_5,MSE_QoI_5,Training Time (s),Memory (gpu),Training Iterations,id
PCE_5,500,12.783006238937379,0.0010069344041947503,7.078335096392919e-06,0.9999997429690234,0.0003054227353399483,1.9335161445306043e-07,0.0005673414084902557,7.348058544587819e-07,0.004158153369573474,4.027611008674441e-05,0.0007668048725831116,1.1748644404118689e-06,0.00018921904282372728,8.39755242371221e-08,5.466499635798503e-05,6.90305805227451e-09,6.22223162651062,0.0,-1,20
PCE_2,1000,4.194233322143555,0.004173673488614776,0.00014256822405257536,0.999997181015386,0.004905152854205923,4.674232432827423e-05,0.0016302654456426386,5.253701716386705e-06,0.015236292810204053,0.0007922258650714208,0.002257273624230042,9.867133708031999e-06,0.0007874954017571545,1.2127542745362578e-06,0.00022556079564884718,1.0756521680229271e-07,2.7319419384002686,0.0,-1,21
PCE_3,1000,4.980896711349487,0.0014501019323940715,1.6813505701252896e-05,0.9999992777514055,0.0004451853185981121,4.5441928808056747e-07,0.0008842682723177113,1.946495147358095e-06,0.00591033711061996,9.51709572306801e-05,0.0010831869198900473,3.0367862901195772e-06,0.0002890704681330515,2.478265633578592e-07,8.856350480554738e-05,2.454968792116889e-08,3.3091163635253906,0.0,-1,22
PCE_5,1000,12.873892974853515,0.0006147416487971863,4.250375566257843e-06,0.9999999070883515,8.818647093929583e-05,2.0103521743169928e-08,0.0002727820271049278,2.004825772299991e-07,0.0027378408109919213,2.4723244233247274e-05,0.0004795191705136931,5.369596631137672e-07,8.334908839628833e-05,1.9467829742735714e-08,2.6772324836990823e-05,1.9955724701113865e-09,12.943664312362671,0.0,-1,23
gp_L,500,0.02900247573852539,0.010607463026374182,0.00035027441997520677,0.9999709103130457,0.018772164329503366,0.0005913845500824838,0.005894698071910423,5.798246042884082e-05,0.02719916218383106,0.0013057821028025596,0.009009758744489957,0.00013675742754129435,0.0021679572830088957,9.04362005611653e-06,0.0006010375455013994,6.963589399454496e-07,16.006179809570312,62.548828125,257,24
gp_M,500,0.01963529586791992,0.002277167581651213,2.2709739643140425e-05,0.999998412403244,0.0034134610934201206,2.226396655803161e-05,0.0011865663700358405,3.027724308539797e-06,0.006784938672126092,0.00010556397600845868,0.0015020665177993139,4.56653417624604e-06,0.0006089315133050495,7.756718498718505e-07,0.00016704132322086293,6.056495769458285e-08,58.743821144104004,137.9755859375,1922,25
gp_S,500,0.012351465225219727,0.016250433322025765,0.000807003472982242,0.9999263667409869,0.030956280506270844,0.0016234593479493582,0.00826344038921369,0.0001086505485985371,0.03989641486739066,0.002775804533070654,0.013619310277063144,0.0003059506655946537,0.0038266061026272615,2.6518503085303392e-05,0.0009405477895890016,1.637239594945974e-06,7.3321638107299805,68.470703125,315,26
NN_S,500,0.0006742477416992188,0.0047613410835984455,0.00021386442303172906,0.9999965931775345,0.006844555582350583,8.803251027656474e-05,0.0020342147503264593,7.845015825182109e-06,0.016013815357620677,0.0011748044041399648,0.0024627393769702166,1.0780369367192336e-05,0.0009392582933246402,1.578529923684631e-06,0.00027346314099809736,1.4570865778548107e-07,1.8605051040649414,17.2578125,4722,27
NN_M,500,0.0005264759063720703,0.0017494545953082457,1.584816864562703e-05,0.999999507811623,0.0027080834439217514,1.547288795497928e-05,0.0007400819193692941,1.0445092154071126e-06,0.005746179628889594,7.675776952901412e-05,0.0008947003764083863,1.5837226664985348e-06,0.0003177986452540781,2.1395604668129612e-07,8.988355800637074e-05,1.616646118182947e-08,2.6505918502807617,17.279296875,6050,28
NN_L,500,0.0005765438079833984,0.0009143896120151463,3.4968380622484804e-06,0.9999997714228609,0.001165589332272348,2.7864184873131413e-06,0.0004021797719806116,3.287258694459837e-07,0.002952182140431052,1.6808817946617737e-05,0.0007180565413862648,9.701980116494444e-07,0.0001867838601169121,7.93544404810693e-08,6.154602590368891e-05,7.51361798350372e-09,1.2753973007202148,17.4609375,2214,29
gp_L,1000,0.027381420135498047,0.002247368410704353,2.2200518594794194e-05,0.9999987095591438,0.0036580732212200162,2.4618392626157888e-05,0.0011474176728965967,2.4891540486742933e-06,0.0065747221636817356,0.0001017647056904609,0.0013920342133412152,3.6380726584628176e-06,0.0005604487329036363,6.437868054950678e-07,0.00015151446018291817,4.8999739514186786e-08,1038.0330374240875,82.6279296875,1295,30
gp_M,1000,0.02007904052734375,0.00742713250022486,0.00018784067338394666,0.9999848085321055,0.013273008446688987,0.0003073047937835987,0.003825629076423187,2.649098095929171e-05,0.019489853424066523,0.0007208151804045927,0.0060095551523669825,6.692246628604743e-05,0.0015265269205422313,5.099578428552228e-06,0.000438221981261254,4.110404415972452e-07,61.59142327308655,206.31005859375,351,31
gp_S,1000,0.012632656097412109,0.0028712998593725847,3.6464899900126186e-05,0.9999978392975669,0.004430782599154916,3.2382711040959384e-05,0.0015260854823273729,4.170638846636399e-06,0.008241049568279231,0.00017256125722831114,0.002218923028585978,8.78775571250843e-06,0.00063518880250271,8.21750409770588e-07,0.0001757696753852988,6.528616257119394e-08,165.46964311599731,68.4833984375,996,32
NN_S,1000,0.0006804943084716796,0.004751274483264281,0.0002294264808585075,0.9999977157335224,0.007995711477202114,0.00012402537857109843,0.0018024255962514346,6.113199798355344e-06,0.015601814986625695,0.0012362445693223833,0.002251372153065428,9.207986916553892e-06,0.0006600897532841615,8.678837705744536e-07,0.00019623293315684928,9.986677207956519e-08,3.0310473442077637,17.2578125,7200,33
NN_M,1000,0.0005344390869140625,0.0020299471223399752,3.571023206089695e-05,0.9999990077173633,0.0029090849468351807,1.680214606618431e-05,0.0008499473081947606,2.2593942507535955e-06,0.0068588924403434025,0.00019066330865411508,0.0011540068240643879,4.162089837143796e-06,0.0003138581856325286,3.475095584186154e-07,9.389302896959277e-05,2.6943998766272726e-08,3.1903369426727295,17.279296875,6539,34
NN_L,1000,0.000591278076171875,0.000780589673141373,2.5875399838105255e-06,0.9999998488823285,0.0010827243538630718,2.5039830856609784e-06,0.0003919834970814337,3.3490945728107096e-07,0.0024023550589958257,1.1912467419198572e-05,0.0006059041944774036,7.227009579401988e-07,0.00015136471895787253,4.595205297864836e-08,4.920621547263065e-05,5.2269298036817604e-09,1.8650684356689453,17.4609375,2966,35
