Model,Training Samples,Inference Time (s),MARE,MSE,R2,MARE_QoI_0,MSE_QoI_0,MARE_QoI_1,MSE_QoI_1,MARE_QoI_2,MSE_QoI_2,MARE_QoI_3,MSE_QoI_3,MARE_QoI_4,MSE_QoI_4,MARE_QoI_5,MSE_QoI_5,Training Time (s),Memory (gpu),Training Iterations,id
gp_L,500,0.03163189888000488,0.00666737295825727,0.00014617021696682842,0.9997806505428813,0.0012964627191781048,2.607534139566673e-06,0.00417742757593731,3.8104089728158544e-05,0.0011945618672240218,2.6641287898671226e-06,0.010548552584562375,0.00024473125342213233,0.011081166081302657,0.00027760785183568237,0.011706066921339148,0.0003113064438855634,15.360388278961182,62.3076171875,242,14
gp_M,500,0.02184443473815918,0.00592608798893983,0.0001264096786886705,0.9998197013838499,0.001071872805878192,1.8934972865560346e-06,0.003473594546872658,2.7842783574060172e-05,0.0012105110882234254,2.7319897545025147e-06,0.009084493400442494,0.00018760604116735478,0.010494210306809146,0.0002908149249419567,0.010221845785413068,0.0002475688354075928,5.621426582336426,91.2529296875,177,15
gp_S,500,0.013590526580810548,0.015377207298862739,0.0006864458702417807,0.9988474618886956,0.0033882529190530234,1.5681274850876336e-05,0.006154823529335351,6.772078207223711e-05,0.001106409440629549,2.2511155806553677e-06,0.025063073352990593,0.001124418239869502,0.028778456732866265,0.0014842585984439713,0.02777222781830164,0.0014243452106334417,7.400991439819336,143.2255859375,301,16
NN_S,500,0.0003807544708251953,0.0024042501075997526,2.1062116157719283e-05,0.9999761014981645,0.0001690934354741371,5.697868038091281e-08,0.0027309397340422514,2.0302688604481524e-05,0.0008471058853938425,1.7021955561554578e-06,0.0032465331688269175,2.5939529420787676e-05,0.003401219785765079,3.0315984105714068e-05,0.004030608636096285,4.805532057879606e-05,5.346315145492554,17.2578125,14114,17
NN_M,500,0.00038433074951171875,0.001581326908016965,1.3326852073364464e-05,0.9999877833455734,8.653860312301415e-05,1.6217219486875934e-08,0.0009228230395828632,3.823151487086913e-06,0.0007260401181684883,1.3306809068553102e-06,0.0022776613321596425,1.5051470493072225e-05,0.002380829979649679,1.920855935037311e-05,0.0030940683754181043,4.053103298331235e-05,4.296172857284546,17.27734375,8581,18
NN_L,500,0.00046210289001464845,0.0010170648578186727,7.410779753452532e-06,0.9999916166990639,9.06586709072954e-05,1.7861534117779308e-08,0.000257580040713176,2.7504543046622404e-07,0.00025466660291697835,1.5196820457595008e-07,0.0016083660961809954,1.1370213252301717e-05,0.0017243757653383515,1.1941420401930383e-05,0.0021667419708552385,2.070816969732314e-05,3.000218152999878,17.45703125,5093,19
gp_L,1000,0.029752397537231447,0.004190103466045191,6.494182630449111e-05,0.9999116440375534,0.000730485643403548,9.900186620917667e-07,0.002627423831202213,1.8659655477859794e-05,0.0009331158689509033,1.712408039757856e-06,0.006410508017104846,9.776330719616398e-05,0.006634022761868925,0.00010555756061314043,0.007805064673740714,0.0001649680078379329,177.8511254787445,82.15185546875,229,20
gp_M,1000,0.02187314033508301,0.0045870538941393535,7.081307805623585e-05,0.9998937703436833,0.000857940009598508,1.321966203884339e-06,0.0027922870706656422,1.9915355488417306e-05,0.000871087163235995,1.5172910815429627e-06,0.007174033181872372,0.000120064547720398,0.007852113801148284,0.0001346211438792155,0.007974862138315317,0.00014743816396395695,46.48902869224548,204.99609375,278,21
gp_S,1000,0.013674688339233399,0.002050255923170351,1.434577750158041e-05,0.9999768514121935,0.0003157350563070325,1.4308857150371932e-07,0.0009729438317061714,1.8101463680396154e-06,0.0003559192227096795,2.6069739789474227e-07,0.004533147540450274,4.346005128537147e-05,0.0027796925565649355,1.57055106806732e-05,0.0033440973312840114,2.4695170705999707e-05,126.67074537277222,311.732421875,1004,22
NN_S,1000,0.00036978721618652344,0.0021927565988471872,1.721447669327864e-05,0.999981509307171,0.00014435157368662815,4.0018557172623856e-08,0.0026170668173833363,1.7682588331271505e-05,0.0009503451815261933,2.302644612045741e-06,0.0028902632907522553,1.8638860864981307e-05,0.0029628035312623973,2.255783253464323e-05,0.003591709198472313,4.206491525955741e-05,1.8506920337677002,17.2578125,4288,23
NN_M,1000,0.0003805637359619141,0.0014441841615907322,1.2700577149007441e-05,0.9999886873098879,8.926521027617296e-05,1.7769866292406232e-08,0.0007401826792536557,2.248071584865531e-06,0.000697465392368445,1.095675527655327e-06,0.002000166419542081,1.3752926184788523e-05,0.002307709389886717,1.9387737428834104e-05,0.002830315878217321,3.970128230160875e-05,2.113403081893921,17.27734375,4696,24
NN_L,1000,0.0004695892333984375,0.001068017580014182,6.0258661837101524e-06,0.9999916851426784,7.304774867280402e-05,1.0577443582222835e-08,0.00010356615701092271,7.090216094941878e-08,0.00027848201286749194,1.9002809716742717e-07,0.0017181417926477075,7.69654072104774e-06,0.0018941998300590459,9.553890232502034e-06,0.002340667938827121,1.8633258447012075e-05,4.660706520080566,17.45703125,8048,25
PCE_2,200,1.6824790000915528,0.003056559567480766,3.025512121766829e-05,0.9999644163143271,0.00043866467539349613,2.767545792577154e-07,0.0030606757403775545,1.7060413434450282e-05,0.0014812272894002235,3.617864679507128e-06,0.004060633406154991,4.019188368064995e-05,0.004230567726446311,4.530374578788361e-05,0.005067588567112018,7.508006514426107e-05,0.20502305030822754,0.0,-1,26
PCE_3,200,1.738316011428833,0.001661528725767476,1.091297526950169e-05,0.9999880219125531,5.693086935191691e-05,5.153843406590428e-09,0.0007621241039792779,1.1965082932964842e-06,0.0008996589179990032,1.6036341247131567e-06,0.0023895162867621257,1.4093526083531827e-05,0.002603194093160681,1.74391002470724e-05,0.0032577480833518514,3.113992902498969e-05,0.22020959854125977,0.0,-1,27
PCE_5,200,1.9577356338500977,0.0012845753847724405,7.566173439643986e-06,0.9999899327544962,1.6233692303048132e-05,5.492158013671687e-10,7.443198377573625e-05,1.5697044248682973e-08,0.0005930547556718893,9.032766922004609e-07,0.0020413176951646394,1.0668814141779736e-05,0.0022541418467580078,1.3402730050572487e-05,0.002728272334961321,2.0405973493261177e-05,0.25961875915527344,0.0,-1,28
gp_L,200,0.028889226913452148,0.010459910677812843,0.0003080800724091095,0.9994281176116973,0.0020715191116363117,6.210540679584311e-06,0.0059813425231397075,6.693993712938359e-05,0.002175976922743942,7.82473241434405e-06,0.0164504429115142,0.0005309487347607233,0.017801959102132923,0.0005653979108519075,0.018278223495709983,0.0006711585786187142,10.409624338150024,22.77587890625,198,29
gp_M,200,0.01981072425842285,0.011239787295580315,0.00035471300284911156,0.9994141928664687,0.0026151630608778845,9.721603442031108e-06,0.006695057093517047,8.868015052577111e-05,0.0021762525145370814,7.757630844807814e-06,0.017691425010990327,0.000591724735158805,0.01829702195084456,0.000648036674392089,0.019963804142714987,0.0007823572227311656,6.714908838272095,20.91552734375,242,30
gp_S,200,0.01240997314453125,0.017466189082237377,0.0008210289556421491,0.9985138286498761,0.003453471326669616,1.870563333374542e-05,0.0089998911589715,0.00015819561494724338,0.003601026889521661,2.0056404336616058e-05,0.029956674738654415,0.0015992081687537484,0.02832699361997919,0.0014192833006010776,0.03045907675962788,0.0017107246118804632,4.636698246002197,31.18505859375,219,31
NN_S,200,0.00035796165466308596,0.003114861992191053,3.83849911395427e-05,0.9999595426127633,0.0003383972381932022,1.999565297113763e-07,0.0031904918355080553,2.9669278392281535e-05,0.0014768722839148137,3.942102765960619e-06,0.004116181050286602,5.037512268508604e-05,0.00428013973669551,5.610587250019082e-05,0.005287089808548131,9.001761396402581e-05,0.9240677356719971,17.2578125,2221,32
NN_M,200,0.00036373138427734373,0.001953276718349605,2.1971087373253987e-05,0.9999826017108614,0.0001488632686929356,4.7165246444320494e-08,0.001609969919007589,9.040002268419444e-06,0.0008092760885165401,2.0460860196082272e-06,0.0024400443731432075,1.9359484338701848e-05,0.0027715286700899684,2.8426327768302732e-05,0.00393997799064739,7.290745859804735e-05,1.1044230461120605,17.27734375,2470,33
NN_L,200,0.00044193267822265623,0.0013480742347881018,1.0481155383679122e-05,0.9999896071504047,0.00019913400637283754,1.0524581680471579e-07,0.00038576940304680134,1.0045202503753587e-06,0.0006975815579097346,1.2996670703237248e-06,0.00203008581326671,1.530740756998271e-05,0.002118498140189147,1.6643463857268866e-05,0.0026573764879433822,2.8526627737319354e-05,0.9727809429168701,17.45703125,1637,34
PCE_5,1000,1.937935972213745,0.0010817331825437506,4.434243054978361e-06,0.9999930343679432,1.3801385835858726e-05,3.9520029817839307e-10,6.161108133014988e-05,9.172257954614246e-09,0.0004335016293809761,3.6559210463053375e-07,0.001741743943119044,6.433250236751609e-06,0.0019190753415779913,7.90998063242328e-06,0.0023206657140184828,1.1887067897811949e-05,1.1788465976715088,0.0,-1,35
