V_rest,V_peak,dVdt_max,Amplitude,DPA,APD80,APD50,APD30
-71.696045,29.1452,533.8387,100.84125,99.12,2.45,14.64,15.47
-83.74447,24.54275,514.0422,108.28722,99.17,3.41,12.73,13.68
-69.09668,27.258263,537.5759,96.35494,96.47,2.67,13.92,14.73
-74.451324,26.938068,527.0852,101.38939,99.12,3.21,14.81,15.72
-78.72209,27.462397,522.0503,106.18449,99.15,3.67,15.85,16.830000000000002
-77.617165,28.270239,523.53143,105.887405,99.16,3.35,15.870000000000001,16.82
-73.86493,27.004957,520.0199,100.86989,99.12,1.69,9.61,10.3
-85.70458,22.620909,508.97913,108.32549,99.17,2.82,10.08,10.94
-76.50436,28.917856,524.5829,105.42221,99.11,2.86,15.27,16.16
-76.05909,29.054749,526.1208,105.11384,99.17,3.0300000000000002,15.93,16.84
-81.39277,28.021818,517.7562,109.41459,99.17,3.23,14.91,15.85
-71.30422,28.376638,535.33905,99.68086,98.01,3.06,15.89,16.78
-78.02349,23.220161,507.75333,101.24365,99.17,1.6400000000000001,6.8,7.44
-73.98228,29.67581,531.2314,103.65809,99.09,3.0500000000000003,16.8,17.71
-76.448906,24.200691,516.9444,100.6496,99.15,2.17,9.76,10.52
-80.70303,23.836672,513.44165,104.5397,99.16,2.56,10.49,11.32
-77.01425,24.814493,514.2112,101.82874,99.13,1.9000000000000001,9.01,9.72
-86.47317,26.844095,518.02637,113.31726,99.16,5.83,18.85,20.080000000000002
-73.78995,26.938763,528.98883,100.728714,98.91,3.5,15.620000000000001,16.55
-71.708244,29.948944,536.37634,101.65719,99.06,2.75,16.39,17.26
-77.930534,25.459145,515.1126,103.38968,99.13,2.11,10.16,10.92
-82.778,24.969404,518.88153,107.747406,99.15,4.94,16.31,17.43
-79.87495,24.981482,517.00806,104.85643,99.16,3.0100000000000002,12.44,13.34
-81.62138,26.461771,513.1622,108.08315,99.15,2.47,11.71,12.540000000000001
-70.11996,26.700005,534.2792,96.81996,97.18,2.72,13.59,14.42
-80.0499,25.940647,518.19415,105.99054,99.15,3.2600000000000002,13.65,14.58
-75.12888,26.043541,521.67944,101.172424,99.15,2.33,11.57,12.370000000000001
-71.56912,26.586927,530.5335,98.15605,98.85000000000001,2.61,13.09,13.91
-81.16792,28.757227,522.76544,109.92515,99.16,5.0600000000000005,19.67,20.81
-86.17838,26.470503,515.5239,112.64889,99.17,4.54,15.96,17.06
-79.37175,24.249931,511.33066,103.62168,99.16,2.0100000000000002,8.950000000000001,9.68
-82.57544,27.61782,521.4309,110.19326,99.15,5.6000000000000005,19.63,20.830000000000002
-71.19449,28.108501,534.87976,99.30299,98.36,2.96,15.38,16.25
-71.45093,27.85311,532.27905,99.30404,98.95,2.47,13.64,14.450000000000001
-83.04892,25.31167,518.3603,108.36059,99.16,4.74,16.06,17.16
-77.2658,26.728127,524.87726,103.99393,99.14,4.34,16.990000000000002,18.02
-81.55464,25.67868,518.1107,107.23332,99.16,3.89,14.73,15.73
-73.73834,26.890247,528.9869,100.628586,98.98,3.49,15.540000000000001,16.47
-72.49886,27.308582,531.8466,99.80745,98.14,3.44,15.89,16.81
-83.21695,24.442398,517.83844,107.65935,99.15,4.7,15.44,16.54
-84.831116,26.212505,517.52875,111.043625,99.16,4.95,16.84,17.97
-70.159615,28.576141,538.3009,98.735756,97.87,2.95,15.860000000000001,16.72
-73.780945,28.493525,531.2589,102.27447,99.14,3.61,17.19,18.150000000000002
-81.47016,26.260122,519.40826,107.730286,99.16,4.29,15.98,17.02
-75.75388,28.16157,525.24506,103.91545,99.09,2.91,14.86,15.75
-74.363914,28.985266,530.9112,103.34918,99.17,3.68,17.75,18.72
-72.715034,27.021166,526.3175,99.7362,99.15,2.12,11.620000000000001,12.38
-75.37504,29.100924,526.38934,104.47596,99.17,2.71,15.11,15.98
-77.55544,28.905293,524.5182,106.46074,99.17,3.45,16.66,17.63
-80.243095,24.817472,519.16736,105.06057,99.14,3.92,14.4,15.4
-73.58328,25.358149,518.4101,98.94143,99.14,1.68,8.47,9.14
-78.619835,25.035105,512.5206,103.65494,99.15,1.97,9.290000000000001,10.02
-78.32305,25.668766,520.45984,103.99182,99.17,3.36,13.88,14.81
-72.433044,24.773949,522.03754,97.20699,99.15,1.85,9.01,9.71
-86.503,27.797867,519.26965,114.300865,99.17,6.38,20.76,22.07
-75.409485,28.326727,528.79065,103.73621,99.08,4.03,17.86,18.86
-84.844246,25.500633,517.8484,110.34488,99.17,5.25,16.97,18.13
-76.446556,29.351833,526.28156,105.798386,99.11,3.21,16.62,17.56
-71.734505,28.0523,534.0766,99.786804,98.60000000000001,3.18,15.92,16.81
-81.171715,27.64545,518.76465,108.81717,99.14,3.56,15.42,16.4
-81.922066,26.892576,514.1209,108.814644,99.16,2.66,12.55,13.42
-76.515335,27.820208,521.7499,104.33554,99.15,2.46,13.18,14.02
-78.2006,25.9457,519.61475,104.1463,99.13,2.98,13.13,14.02
-70.92573,26.928932,533.9246,97.85466,95.31,3.13,14.91,15.790000000000001
-74.82194,29.07833,527.9435,103.90027,99.15,2.84,15.55,16.44
-74.26217,25.103956,515.6153,99.36613,99.16,1.6,7.86,8.51
-83.541916,26.031664,516.3599,109.57358,99.17,3.94,14.81,15.83
-78.770744,26.296509,521.73566,105.06725,99.15,3.93,15.56,16.55
-84.35328,25.285986,517.20337,109.63927,99.17,4.74,15.88,16.990000000000002
-75.138596,28.548193,524.8536,103.68679,99.14,2.4,13.69,14.52
-84.62956,25.654987,516.72766,110.284546,99.17,4.58,15.74,16.830000000000002
-73.04355,28.092983,531.43787,101.136536,99.11,3.2600000000000002,16.02,16.94
-81.3397,25.517551,516.4764,106.857254,99.14,3.27,13.25,14.18
-86.92549,28.188992,517.7639,115.11449,99.16,5.62,19.35,20.580000000000002
-71.98676,28.570816,533.955,100.55758,99.11,3.02,15.9,16.78
-85.82232,26.43496,511.36304,112.25728,99.16,3.0700000000000003,12.86,13.780000000000001
-72.92543,29.988201,535.2494,102.913635,98.93,3.5,18.45,19.41
-71.406555,28.417522,534.732,99.82408,99.17,2.89,15.44,16.31
-79.95886,25.724773,518.01294,105.68364,99.16,3.21,13.4,14.32
-86.11315,24.39348,514.7611,110.50663,99.16,4.43,14.5,15.57
-76.29555,27.653984,523.00195,103.94953,99.15,2.7,13.81,14.67
-74.32376,25.652212,515.06335,99.975975,99.13,1.54,7.83,8.47
-86.95644,25.790464,512.77246,112.74691,99.16,3.84,14.0,15.02
-71.8503,27.755901,528.76495,99.6062,99.07000000000001,2.0100000000000002,11.8,12.540000000000001
-84.857475,25.251945,512.62,110.10942,99.16,3.25,12.66,13.6
-83.18449,23.424528,510.39792,106.60902,99.17,2.56,10.02,10.85
-73.86432,27.027454,525.2078,100.89177,99.13,2.35,12.4,13.200000000000001
-76.915276,24.440872,519.2367,101.35615,99.14,2.69,11.52,12.36
-75.64806,23.607353,516.2561,99.25542,99.14,1.98,8.75,9.47
-86.4694,26.222754,510.05347,112.692154,99.16,2.95,12.35,13.25
-74.774925,25.89996,525.73016,100.67488,99.08,3.33,14.31,15.22
-79.009384,25.192915,513.66486,104.2023,99.15,2.15,10.06,10.82
-76.68256,25.634766,514.54266,102.31733,99.13,1.82,9.15,9.85
-72.28116,23.54089,516.9778,95.82205,99.10000000000001,1.52,6.73,7.3500000000000005
-77.91336,28.229788,525.3664,106.14315,99.14,4.39,18.240000000000002,19.29
-77.60819,26.356499,514.2316,103.96469,99.15,1.8800000000000001,9.8,10.52
-77.336914,26.688692,523.47345,104.025604,99.11,3.72,15.55,16.52
-86.96368,27.036951,517.5942,114.000626,99.17,5.78,18.78,20.01
-80.52589,26.603016,520.0914,107.12891,99.17,4.04,15.81,16.830000000000002
-79.65222,26.716883,516.7909,106.3691,99.15,2.63,12.58,13.44
-74.13901,26.352787,527.4999,100.49179,98.93,3.42,14.93,15.85
-73.249146,30.024199,534.14526,103.273346,99.12,3.3200000000000003,17.96,18.900000000000002
-83.93399,24.891682,517.0486,108.82567,99.17,4.5600000000000005,15.32,16.41
-74.58928,27.93851,526.96924,102.52779,99.11,2.85,14.63,15.51
-76.68109,22.950535,512.136,99.63162,99.17,1.79,7.53,8.21
-79.71114,25.228489,517.2884,104.93964,99.16,3.0,12.58,13.47
-76.50926,23.873293,510.88983,100.38255,99.16,1.6400000000000001,7.26,7.91
-77.054924,27.30721,522.4219,104.36214,99.17,2.98,14.24,15.14
-82.4554,25.407434,519.5419,107.86283,99.16,5.05,16.85,17.98
-72.109474,29.386177,535.5039,101.49565,99.0,3.2,17.13,18.05
-79.95138,26.447058,520.0208,106.39844,99.16,3.77,15.17,16.16
-80.036095,26.986965,519.71155,107.023056,99.15,3.56,15.06,16.03
-82.74736,27.753197,519.72656,110.50056,99.16,4.71,17.78,18.89
-80.09634,27.060991,519.6988,107.157326,99.14,3.56,15.120000000000001,16.09
-78.297104,22.52757,510.1154,100.82468,99.15,1.85,7.48,8.16
-72.85491,24.634096,521.56995,97.489006,99.07000000000001,1.9100000000000001,9.18,9.89
-82.932365,23.68622,511.4773,106.61858,99.16,2.68,10.53,11.38
-86.13934,26.773773,517.69934,112.91312,99.17,5.5200000000000005,18.19,19.39
-82.69148,27.920717,520.87976,110.6122,99.17,5.24,19.080000000000002,20.240000000000002
-76.89277,27.032608,525.5546,103.92538,99.16,4.28,17.14,18.16
-74.01828,28.743273,526.6852,102.76155,99.14,2.25,13.41,14.21
-70.46945,28.629032,537.16003,99.09848,98.60000000000001,2.7800000000000002,15.36,16.21
-78.548355,25.03624,519.819,103.584595,99.15,3.37,13.48,14.42
-84.76658,26.299322,517.5306,111.0659,99.16,4.91,16.82,17.95
-70.923195,27.285004,531.1098,98.2082,98.97,2.15,12.040000000000001,12.8
-88.11227,26.269508,511.86362,114.381775,99.16,3.84,14.15,15.16
-85.44288,26.420504,519.0731,111.86338,99.17,6.05,19.18,20.43
-71.08511,24.89632,524.8414,95.98143,99.08,1.82,9.01,9.700000000000001
-83.27768,27.816454,517.6073,111.09413,99.16,4.0,16.22,17.25
-87.555305,23.072332,504.35562,110.62764,99.3,2.5500000000000003,8.98,9.76
-72.54568,27.425943,531.1409,99.97162,98.93,3.1,15.1,15.99
-74.992226,28.77317,529.8087,103.765396,99.08,3.88,17.96,18.95
-79.06785,29.652391,525.4486,108.72024,99.14,4.62,19.88,20.98
-79.71728,25.229427,514.4934,104.9467,99.17,2.4,10.9,11.71
-73.3708,26.490757,524.12146,99.86156,99.15,2.1,11.14,11.89
-77.33445,25.836946,516.7592,103.171394,99.14,2.16,10.66,11.43
-76.50463,24.170128,517.3263,100.67476,99.13,2.25,10.0,10.77
-84.64784,27.06882,519.2003,111.71666,99.16,5.58,18.79,20.0
