dVmax,ADP90,ADP50,Vreps,tdV
4.35915,228,209,-88.0814,5.93955
4.69481,226,205,-87.9413,5.92955
4.04816,194,183,-87.3804,5.94955
2.60419,187,174,-87.4097,5.99955
3.34836,199,182,-87.4347,5.97955
3.07554,243,229,-87.0722,5.98955
4.13549,266,247,-87.6621,5.93955
2.49287,177,164,-87.4279,5.99955
2.92067,213,199,-87.4658,5.99955
2.45441,268,253,-87.5012,5.99955
4.19824,258,240,-87.5755,5.93955
4.45386,174,154,-88.067,5.93955
4.89534,225,212,-87.3004,5.91955
4.66664,183,170,-87.3897,5.92955
3.70569,230,210,-87.995,5.96955
4.95589,247,231,-87.3954,5.90955
4.23968,190,174,-87.7075,5.93955
4.33935,231,211,-87.8427,5.93955
4.26224,232,214,-87.9225,5.93955
3.78337,209,193,-87.5087,5.95955
3.18152,184,169,-87.3474,5.98955
3.77334,227,211,-87.625,5.95955
3.65449,237,223,-87.3336,5.95955
2.7331,249,236,-87.2747,5.99955
4.41964,177,161,-87.5258,5.92955
3.2028,220,206,-87.1156,5.97955
3.25143,235,220,-87.7261,5.98955
3.72,194,182,-87.3855,5.95955
5.0083,262,239,-87.5548,5.90955
3.92583,188,172,-87.7649,5.95955
2.7835,206,190,-87.6463,5.99955
3.29575,242,226,-87.49,5.97955
3.53582,172,160,-87.2335,5.96955
2.56879,249,234,-87.5609,5.99955
2.73505,148,135,-87.2535,5.99955
3.08113,238,223,-87.392,5.98955
3.23549,283,256,-87.7982,5.97955
3.22786,191,167,-87.8275,5.97955
3.88464,241,227,-87.4043,5.95955
2.82506,220,200,-87.7916,5.99955
2.87212,200,178,-88.0767,5.99955
3.20545,213,197,-87.9247,5.98955
3.61828,223,204,-87.5411,5.95955
4.14552,240,225,-87.109,5.93955
4.77129,178,166,-87.2213,5.91955
4.50127,213,191,-87.6406,5.92955
3.77202,237,222,-87.6269,5.95955
4.73622,198,187,-87.2822,5.91955
4.73507,276,257,-87.4864,5.91955
4.01977,192,172,-87.8566,5.94955
4.06634,224,210,-87.3567,5.94955
3.679,253,237,-87.4341,5.95955
2.75071,233,219,-87.5218,5.99955
3.92064,202,185,-87.7677,5.95955
3.57247,202,189,-87.3822,5.96955
4.91392,146,131,-87.7125,5.91955
4.11843,263,247,-87.6425,5.94955
